Post URL,Date,Post Type,Post Text,Impressions,Members Reached,Reactions,Comments,Reposts,Shares,Engagement Rate,Profile Views,Followers Gained,Saves,Sends
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000000,2026-03-01,Text,"Stop outsourcing your thinking. AI is a tool, not a ghostwriter.",28400,19200,1120,87,34,12,6.2%,340,18,56,210
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000001,2026-03-08,Image,"I mapped every AI tool I use daily onto one slide. Here's the breakdown.",22100,15600,840,61,28,9,5.8%,290,14,48,175
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000002,2026-03-15,Video,"Watch me build a client deliverable in 22 minutes using Claude + Notion.",30000,21400,1380,112,52,18,7.4%,410,22,74,310
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000003,2026-03-22,Document,"The 6-step framework I use to onboard AI into any team. Swipe →",18700,13100,690,44,19,7,5.1%,240,11,39,148
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000004,2026-04-01,Text,"Hot take: prompt engineering is a temporary skill. Taste is forever.",25300,17800,1050,95,41,14,6.7%,320,16,61,225
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000005,2026-04-12,Image,"My content workflow went from 8 hours to 90 minutes. Thread ↓",19900,14200,760,58,24,8,5.4%,270,13,44,162
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000006,2026-04-19,Text,"The reason most AI agents fail is simpler than you think.",15800,10900,580,39,16,5,4.9%,195,9,32,124
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000007,2026-04-26,Video,"Live coding an AI assistant from scratch — no fluff, just build.",26700,18900,1240,101,47,16,7.0%,380,20,68,285
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000008,2026-05-04,Document,"3 AI workflows every solopreneur should steal. (Case studies inside)",21500,15100,830,65,27,9,5.7%,305,15,51,188
https://www.linkedin.com/feed/update/urn:li:activity:7100000000000000009,2026-05-10,Image,"I let an AI handle my inbox for 30 days. Here's what happened.",17200,12000,640,49,20,7,5.3%,220,10,38,143
